Age,Gender,Region,Education,Employment,Income,Exercise,Health Monitoring,Wearable Device,DNA Test Taken,Comfort DNA Sharing,Trust in Science,Interest Vitamins,Interest Skincare,Interest Diet Fitness,Preferred Mode,Willingness to Pay,Subscription Interest,Interest in DNA Brand,Diet Type_Vegetarian,Diet Type_Vegan,Diet Type_Non-vegetarian,Diet Type_Keto/Low-carb,Diet Type_High Protein,Diet Type_Pescatarian,Fitness Goals_Weight loss,Fitness Goals_Muscle gain,Fitness Goals_Energy,Fitness Goals_Sleep,Fitness Goals_Endurance,Fitness Goals_Mental wellness,Fitness Goals_Healthy aging,Fitness Goals_General fitness,Health Issues_Fatigue,Health Issues_Stress,Health Issues_Digestive issues,Health Issues_Vitamin deficiency,Health Issues_Skin issues,Health Issues_Hair fall,Health Issues_Hormonal imbalance,Health Issues_Weight issues,Supplement Sources_Pharmacy,Supplement Sources_Online,Supplement Sources_Supermarket,Supplement Sources_Clinic,Supplement Sources_None,Supplements Used_Multivitamins,Supplements Used_Omega-3,Supplements Used_Collagen,Supplements Used_Vitamin D,Supplements Used_Protein,Supplements Used_Probiotics,Supplements Used_Creatine,Supplements Used_Skin supplements,DNA Interest Areas_Diet plans,DNA Interest Areas_Vitamins,DNA Interest Areas_Skincare,DNA Interest Areas_Fitness,DNA Interest Areas_Preventive health,DNA Interest Areas_Anti-aging,DNA Interest Areas_Genetics curiosity
25-34,Female,Ajman,Master,Working Professional,12000-20000,3-4 times/wk,Weekly,Yes,No,2,High,Neutral,Likely,Very unlikely,App,200-400,Maybe,Maybe,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0
18-24,Female,Dubai,Master,Working Professional,7000-12000,3-4 times/wk,Weekly,Yes,No,5,High,Very likely,Unlikely,Neutral,Dashboard,<200,Maybe,Maybe,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1
25-34,Female,UAQ,Diploma,Working Professional,12000-20000,1-2 times/wk,Occasionally,No,No,4,Medium,Very likely,Neutral,Unlikely,App,700-1000,Maybe,Yes,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
35-44,Female,Sharjah,Master,Working Professional,3000-7000,3-4 times/wk,Occasionally,Yes,No,5,High,Likely,Likely,Likely,Dashboard,1000-1500,Maybe,No,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
45-54,Female,RAK,Bachelor,Student,3000-7000,1-2 times/wk,Never,Yes,No,5,High,Unlikely,Neutral,Neutral,Dashboard,700-1000,No,Yes,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0
25-34,Female,Dubai,Bachelor,Freelancer,12000-20000,3-4 times/wk,Never,Yes,No,5,High,Likely,Likely,Very likely,Email,1000-1500,Maybe,No,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
35-44,Female,Abu Dhabi,Master,Not working,3000-7000,1-2 times/wk,Weekly,Yes,Yes,4,Medium,Likely,Unlikely,Neutral,WhatsApp AI,200-400,Yes,Yes,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
18-24,Female,Abu Dhabi,Bachelor,Working Professional,7000-12000,1-2 times/wk,Weekly,Yes,No,3,Low,Very unlikely,Unlikely,Unlikely,App,400-700,Yes,Maybe,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0
25-34,Other,Ajman,Doctorate,Student,12000-20000,1-2 times/wk,Daily,No,No,5,High,Likely,Very unlikely,Neutral,WhatsApp AI,400-700,Yes,Yes,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0
25-34,Female,Dubai,High School,Student,35000+,3-4 times/wk,Occasionally,No,No,4,Medium,Very likely,Likely,Neutral,Email,<200,No,Yes,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0
35-44,Male,Dubai,Diploma,Working Professional,<3000,5+ times/wk,Daily,No,No,4,Medium,Likely,Very unlikely,Likely,App,1000-1500,Yes,Yes,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
25-34,Female,Abu Dhabi,Bachelor,Business Owner,7000-12000,5+ times/wk,Never,Yes,No,4,High,Very likely,Very likely,Very likely,WhatsApp AI,1500+,Yes,Maybe,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0
18-24,Male,Abu Dhabi,Bachelor,Working Professional,<3000,1-2 times/wk,Weekly,No,No,5,High,Unlikely,Unlikely,Likely,Email,1000-1500,Maybe,Maybe,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
25-34,Female,Dubai,High School,Student,12000-20000,3-4 times/wk,Occasionally,Yes,No,2,High,Likely,Likely,Unlikely,Dashboard,1000-1500,Maybe,Yes,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0
25-34,Female,Sharjah,Bachelor,Working Professional,7000-12000,3-4 times/wk,Occasionally,No,No,5,Medium,Very likely,Unlikely,Neutral,App,1000-1500,Yes,Yes,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
18-24,Female,Dubai,Bachelor,Working Professional,7000-12000,5+ times/wk,Weekly,No,No,4,High,Unlikely,Neutral,Very unlikely,App,<200,Yes,Maybe,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1
55+,Female,Sharjah,Diploma,Student,7000-12000,3-4 times/wk,Daily,Yes,No,5,Low,Very unlikely,Unlikely,Very likely,App,400-700,Yes,Yes,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
55+,Male,Sharjah,Bachelor,Freelancer,12000-20000,1-2 times/wk,Occasionally,Yes,No,3,High,Neutral,Likely,Neutral,WhatsApp AI,1000-1500,Yes,Maybe,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
25-34,Male,Abu Dhabi,Bachelor,Student,3000-7000,3-4 times/wk,Weekly,No,No,3,Medium,Likely,Neutral,Unlikely,App,400-700,Yes,Yes,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
45-54,Male,Dubai,Master,Working Professional,7000-12000,5+ times/wk,Weekly,No,No,5,High,Unlikely,Neutral,Unlikely,Dashboard,700-1000,No,Yes,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
25-34,Female,UAQ,Bachelor,Student,7000-12000,1-2 times/wk,Never,No,No,4,High,Very unlikely,Likely,Neutral,App,400-700,Yes,No,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0
35-44,Female,Ajman,Bachelor,Working Professional,7000-12000,Never,Occasionally,Yes,No,5,Medium,Unlikely,Neutral,Unlikely,Email,200-400,Maybe,Yes,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
25-34,Female,Ajman,Bachelor,Student,<3000,3-4 times/wk,Weekly,Yes,No,3,High,Likely,Very likely,Neutral,App,400-700,No,Yes,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0
25-34,Female,Fujairah,Bachelor,Freelancer,7000-12000,1-2 times/wk,Daily,Yes,No,5,High,Likely,Likely,Very unlikely,App,700-1000,Maybe,Maybe,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
25-34,Female,Dubai,Bachelor,Working Professional,7000-12000,3-4 times/wk,Daily,No,No,3,High,Unlikely,Likely,Likely,App,<200,No,Yes,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
25-34,Male,Dubai,Bachelor,Student,3000-7000,5+ times/wk,Weekly,Yes,No,4,High,Likely,Likely,Likely,App,1000-1500,Yes,Maybe,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0
25-34,Male,Dubai,Diploma,Working Professional,7000-12000,3-4 times/wk,Occasionally,Yes,No,3,High,Neutral,Unlikely,Neutral,WhatsApp AI,700-1000,Maybe,Maybe,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0
25-34,Male,Dubai,Master,Student,12000-20000,5+ times/wk,Occasionally,Yes,No,4,Medium,Very unlikely,Very likely,Neutral,App,1000-1500,Yes,Maybe,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
35-44,Female,Abu Dhabi,Diploma,Working Professional,20000-35000,1-2 times/wk,Occasionally,Yes,No,3,Medium,Likely,Neutral,Very unlikely,Dashboard,700-1000,Yes,Maybe,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
45-54,Female,Abu Dhabi,Doctorate,Business Owner,3000-7000,1-2 times/wk,Weekly,Yes,No,4,High,Very likely,Likely,Neutral,WhatsApp AI,<200,Yes,Yes,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
25-34,Female,Dubai,Bachelor,Student,7000-12000,3-4 times/wk,Occasionally,No,No,4,Medium,Very likely,Likely,Likely,WhatsApp AI,1000-1500,No,Maybe,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
25-34,Female,Sharjah,Bachelor,Student,7000-12000,1-2 times/wk,Daily,No,No,3,Medium,Likely,Very unlikely,Likely,Dashboard,700-1000,Yes,Yes,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
25-34,Female,UAQ,Bachelor,Student,3000-7000,5+ times/wk,Daily,Yes,No,4,Medium,Likely,Neutral,Very unlikely,WhatsApp AI,400-700,Maybe,Maybe,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1
35-44,Female,Abu Dhabi,Bachelor,Working Professional,20000-35000,Never,Occasionally,Yes,No,4,High,Neutral,Neutral,Unlikely,Email,200-400,Yes,Yes,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0
35-44,Female,Dubai,Bachelor,Student,20000-35000,3-4 times/wk,Never,No,No,5,Medium,Unlikely,Likely,Neutral,App,400-700,Yes,Yes,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
25-34,Female,RAK,Bachelor,Business Owner,20000-35000,3-4 times/wk,Occasionally,No,No,4,Medium,Likely,Neutral,Neutral,Dashboard,1000-1500,Yes,Yes,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0
25-34,Male,Dubai,Master,Freelancer,3000-7000,3-4 times/wk,Never,No,No,4,Low,Neutral,Neutral,Likely,App,200-400,Maybe,Yes,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
25-34,Male,Abu Dhabi,Bachelor,Freelancer,20000-35000,5+ times/wk,Weekly,Yes,No,5,Medium,Neutral,Neutral,Likely,Dashboard,200-400,Yes,Maybe,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
18-24,Other,Dubai,Diploma,Working Professional,<3000,Never,Never,Yes,No,5,Medium,Likely,Very likely,Very unlikely,WhatsApp AI,<200,Yes,Yes,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
35-44,Female,Ajman,Diploma,Freelancer,3000-7000,3-4 times/wk,Occasionally,No,Yes,4,High,Very likely,Very likely,Unlikely,WhatsApp AI,700-1000,Yes,Yes,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0
25-34,Male,Dubai,High School,Working Professional,35000+,1-2 times/wk,Occasionally,Yes,No,4,Medium,Likely,Unlikely,Likely,App,400-700,No,Yes,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
55+,Female,Dubai,Bachelor,Student,7000-12000,1-2 times/wk,Occasionally,Yes,No,4,Medium,Neutral,Unlikely,Very likely,Dashboard,400-700,Yes,No,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0
25-34,Male,Dubai,Bachelor,Working Professional,12000-20000,5+ times/wk,Weekly,Yes,Yes,3,Medium,Likely,Very likely,Likely,App,700-1000,Yes,Yes,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0
55+,Female,Dubai,Bachelor,Freelancer,3000-7000,1-2 times/wk,Occasionally,Yes,Yes,4,Low,Unlikely,Very unlikely,Likely,App,400-700,No,Yes,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
18-24,Male,Sharjah,High School,Business Owner,12000-20000,5+ times/wk,Weekly,No,No,3,High,Neutral,Likely,Likely,App,200-400,Yes,Yes,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1
25-34,Male,Dubai,Bachelor,Working Professional,20000-35000,3-4 times/wk,Weekly,No,No,4,High,Neutral,Neutral,Likely,Dashboard,400-700,Maybe,Maybe,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25-34,Other,Ajman,Bachelor,Working Professional,12000-20000,1-2 times/wk,Occasionally,No,No,4,High,Very unlikely,Unlikely,Very unlikely,App,1000-1500,Yes,Maybe,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
25-34,Male,Ajman,Master,Freelancer,20000-35000,3-4 times/wk,Weekly,No,Yes,4,Medium,Likely,Very unlikely,Neutral,Clinic,700-1000,Maybe,Maybe,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
25-34,Female,Sharjah,Bachelor,Business Owner,7000-12000,1-2 times/wk,Weekly,No,Yes,2,High,Likely,Likely,Very unlikely,WhatsApp AI,400-700,Yes,Yes,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
25-34,Male,Abu Dhabi,Bachelor,Student,12000-20000,1-2 times/wk,Occasionally,No,No,3,Medium,Likely,Very unlikely,Neutral,App,400-700,Maybe,Yes,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
18-24,Female,Abu Dhabi,Bachelor,Student,7000-12000,3-4 times/wk,Occasionally,Yes,No,3,High,Neutral,Neutral,Likely,App,200-400,Maybe,No,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
55+,Male,Dubai,High School,Freelancer,3000-7000,1-2 times/wk,Weekly,No,Yes,2,High,Neutral,Neutral,Neutral,WhatsApp AI,200-400,Yes,Maybe,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
25-34,Female,Fujairah,Bachelor,Working Professional,7000-12000,5+ times/wk,Occasionally,Yes,Yes,3,High,Neutral,Unlikely,Very likely,WhatsApp AI,1000-1500,Yes,Maybe,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
35-44,Male,Dubai,Doctorate,Student,3000-7000,5+ times/wk,Occasionally,Yes,No,4,High,Neutral,Likely,Very unlikely,WhatsApp AI,400-700,Yes,Maybe,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
55+,Male,Dubai,Bachelor,Working Professional,35000+,5+ times/wk,Daily,No,No,3,Medium,Likely,Likely,Unlikely,App,200-400,Maybe,Maybe,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0
25-34,Female,Dubai,Diploma,Working Professional,12000-20000,5+ times/wk,Occasionally,No,No,2,High,Likely,Very likely,Unlikely,App,1000-1500,Maybe,Maybe,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
45-54,Male,Abu Dhabi,Bachelor,Business Owner,20000-35000,5+ times/wk,Occasionally,No,Yes,3,High,Unlikely,Unlikely,Likely,App,700-1000,Yes,Yes,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0
35-44,Female,Dubai,Master,Working Professional,3000-7000,1-2 times/wk,Never,No,Yes,3,Medium,Very likely,Very likely,Very likely,Dashboard,200-400,Yes,Yes,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
25-34,Male,Sharjah,Bachelor,Working Professional,7000-12000,3-4 times/wk,Weekly,No,No,5,High,Neutral,Likely,Likely,Dashboard,700-1000,Yes,Yes,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0
25-34,Male,Ajman,Bachelor,Working Professional,7000-12000,Never,Occasionally,Yes,No,4,High,Neutral,Neutral,Very unlikely,Dashboard,1000-1500,Maybe,Maybe,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
18-24,Male,Sharjah,Bachelor,Student,12000-20000,Never,Weekly,No,Yes,4,High,Very unlikely,Unlikely,Neutral,Email,1000-1500,Yes,Yes,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
35-44,Male,Dubai,Bachelor,Not working,3000-7000,1-2 times/wk,Daily,No,Yes,5,Low,Unlikely,Likely,Neutral,App,<200,No,Yes,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0
25-34,Female,Abu Dhabi,Master,Student,3000-7000,3-4 times/wk,Never,No,No,5,Medium,Likely,Likely,Likely,Dashboard,700-1000,Yes,Yes,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
25-34,Female,Dubai,Bachelor,Working Professional,7000-12000,Never,Occasionally,No,No,2,High,Likely,Likely,Unlikely,WhatsApp AI,700-1000,Maybe,Yes,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
35-44,Female,Fujairah,Bachelor,Working Professional,3000-7000,3-4 times/wk,Daily,Yes,Yes,4,High,Likely,Very likely,Very unlikely,App,700-1000,Yes,Maybe,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
35-44,Other,Abu Dhabi,Bachelor,Working Professional,7000-12000,Never,Occasionally,Yes,No,3,High,Neutral,Likely,Very likely,Email,200-400,Maybe,Maybe,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
25-34,Female,Dubai,Diploma,Student,7000-12000,5+ times/wk,Daily,No,No,5,Low,Likely,Very unlikely,Likely,App,1000-1500,Maybe,Yes,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
18-24,Female,Dubai,Bachelor,Working Professional,3000-7000,3-4 times/wk,Occasionally,Yes,No,3,High,Very likely,Neutral,Likely,App,400-700,Yes,Yes,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
18-24,Male,Dubai,Bachelor,Freelancer,20000-35000,1-2 times/wk,Occasionally,No,No,3,Medium,Very unlikely,Neutral,Very likely,App,200-400,Yes,Maybe,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
45-54,Male,RAK,Diploma,Freelancer,12000-20000,Never,Weekly,No,No,3,Medium,Unlikely,Unlikely,Very unlikely,WhatsApp AI,400-700,Yes,Yes,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
25-34,Male,Sharjah,Bachelor,Student,<3000,3-4 times/wk,Occasionally,No,Yes,4,High,Unlikely,Likely,Likely,Email,700-1000,No,Yes,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
35-44,Female,Sharjah,Bachelor,Not working,12000-20000,3-4 times/wk,Occasionally,No,No,4,Medium,Very likely,Unlikely,Very likely,App,400-700,Yes,Maybe,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
25-34,Female,Dubai,Bachelor,Student,3000-7000,3-4 times/wk,Weekly,Yes,No,4,High,Very unlikely,Neutral,Neutral,Dashboard,200-400,Yes,Yes,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1
25-34,Male,Dubai,Bachelor,Working Professional,35000+,3-4 times/wk,Occasionally,No,Yes,4,High,Neutral,Likely,Likely,App,1500+,Yes,Yes,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0
35-44,Female,Dubai,Bachelor,Working Professional,<3000,5+ times/wk,Daily,No,No,1,Medium,Likely,Unlikely,Likely,App,400-700,Maybe,Yes,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
45-54,Male,Fujairah,Bachelor,Student,<3000,5+ times/wk,Occasionally,Yes,No,3,High,Very likely,Very likely,Unlikely,WhatsApp AI,400-700,Yes,Yes,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
25-34,Female,Sharjah,Bachelor,Student,7000-12000,5+ times/wk,Weekly,Yes,No,4,Medium,Likely,Very likely,Unlikely,App,1000-1500,Maybe,Maybe,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0
35-44,Female,Sharjah,Bachelor,Working Professional,12000-20000,1-2 times/wk,Occasionally,No,Yes,4,High,Neutral,Very likely,Likely,WhatsApp AI,200-400,Yes,No,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0
