Age,Gender,Education Level,Income Level,Region,Exercise Frequency,Diet Type,Current Supplement Usage,Interest in Scientific Wellness,Health Priorities,Spending Range,Estimated Monthly Spending (AED),Interest in DNA-Based Wellness Concept
52,Non-binary,Master’s,5000-10000 AED,Dubai,1-2 times/week,Pescatarian,Yes,Very Interested,"Immunity Boost, Skin Health, Weight Management",500-1000 AED,864.32,Interested
42,Prefer not to say,Bachelor’s,<2000 AED,Ajman,Never,Vegetarian,Yes,Very Interested,"Skin Health, Mental Wellness, Anti-Aging, Immunity Boost, Fitness Performance",<200 AED,311.23,Interested
46,Male,Master’s,2000-5000 AED,Abu Dhabi,Never,Keto/Low Carb,No,Somewhat Interested,"Skin Health, Weight Management, Immunity Boost, Energy Levels",500-1000 AED,601.04,Neutral
35,Male,Bachelor’s,<2000 AED,Abu Dhabi,5+ times/week,Non-Vegetarian,Yes,Somewhat Interested,"Skin Health, Immunity Boost",1000-2000 AED,1110.07,Neutral
63,Non-binary,Bachelor’s,2000-5000 AED,Abu Dhabi,1-2 times/week,Keto/Low Carb,No,Somewhat Interested,"Fitness Performance, Anti-Aging, Mental Wellness",200-500 AED,315.02,Interested
35,Female,Bachelor’s,2000-5000 AED,Ajman,3-4 times/week,Keto/Low Carb,Yes,Very Interested,"Energy Levels, Weight Management, Skin Health, Immunity Boost",1000-2000 AED,1837.16,Highly Interested
19,Male,Bachelor’s,2000-5000 AED,Dubai,1-2 times/week,Non-Vegetarian,No,Very Interested,"Energy Levels, Skin Health, Weight Management, Mental Wellness, Immunity Boost",200-500 AED,459.59,Interested
52,Female,Master’s,5000-10000 AED,Sharjah,3-4 times/week,Vegetarian,Yes,Somewhat Interested,"Anti-Aging, Immunity Boost",1000-2000 AED,1602.85,Neutral
33,Female,Master’s,10000-20000 AED,Abu Dhabi,3-4 times/week,Vegetarian,Yes,Very Interested,"Anti-Aging, Skin Health, Mental Wellness",<200 AED,391.01,Highly Interested
58,Female,Bachelor’s,5000-10000 AED,Sharjah,1-2 times/week,Non-Vegetarian,No,Neutral,"Fitness Performance, Skin Health, Mental Wellness, Anti-Aging",1000-2000 AED,1115.16,Interested
53,Female,High School,10000-20000 AED,Other,1-2 times/week,Vegan,Yes,Very Interested,"Fitness Performance, Anti-Aging",500-1000 AED,794.06,Neutral
50,Female,High School,<2000 AED,Dubai,5+ times/week,Non-Vegetarian,Yes,Somewhat Interested,"Energy Levels, Fitness Performance",200-500 AED,400.09,Interested
21,Male,High School,2000-5000 AED,Other,1-2 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Energy Levels, Fitness Performance",200-500 AED,260.21,Highly Interested
50,Male,Master’s,10000-20000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Energy Levels, Immunity Boost, Fitness Performance",500-1000 AED,940.08,Highly Interested
31,Female,Bachelor’s,<2000 AED,Dubai,1-2 times/week,Keto/Low Carb,Yes,Somewhat Interested,"Anti-Aging, Skin Health",>2000 AED,2195.0,Interested
38,Non-binary,Bachelor’s,5000-10000 AED,Dubai,3-4 times/week,Vegetarian,Yes,Neutral,"Skin Health, Weight Management, Immunity Boost, Energy Levels",200-500 AED,294.04,Highly Interested
37,Male,Bachelor’s,5000-10000 AED,Dubai,1-2 times/week,Vegetarian,Yes,Very Interested,"Weight Management, Fitness Performance",200-500 AED,386.17,Interested
25,Female,High School,5000-10000 AED,Abu Dhabi,3-4 times/week,Vegetarian,Yes,Neutral,"Skin Health, Mental Wellness, Immunity Boost, Anti-Aging",500-1000 AED,819.18,Interested
24,Female,Bachelor’s,<2000 AED,Dubai,1-2 times/week,Keto/Low Carb,Yes,Somewhat Interested,"Immunity Boost, Skin Health",500-1000 AED,849.69,Highly Interested
20,Female,High School,2000-5000 AED,Dubai,5+ times/week,Non-Vegetarian,Yes,Very Interested,"Weight Management, Anti-Aging",500-1000 AED,556.01,Neutral
34,Female,Bachelor’s,5000-10000 AED,Ras Al Khaimah,1-2 times/week,Non-Vegetarian,No,Very Interested,"Immunity Boost, Weight Management, Energy Levels, Fitness Performance",500-1000 AED,924.73,Interested
50,Female,High School,<2000 AED,Ajman,3-4 times/week,Vegetarian,No,Very Interested,"Mental Wellness, Energy Levels",200-500 AED,359.85,Highly Interested
29,Female,Master’s,5000-10000 AED,Ajman,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Weight Management, Energy Levels, Mental Wellness, Anti-Aging",>2000 AED,2471.32,Neutral
39,Female,High School,10000-20000 AED,Ajman,1-2 times/week,Vegetarian,Yes,Somewhat Interested,"Immunity Boost, Skin Health",500-1000 AED,990.55,Neutral
39,Male,Doctorate,>20000 AED,Sharjah,3-4 times/week,Keto/Low Carb,Yes,Neutral,"Mental Wellness, Energy Levels, Immunity Boost, Anti-Aging",200-500 AED,422.11,Interested
63,Female,Bachelor’s,2000-5000 AED,Dubai,1-2 times/week,Vegan,Yes,Not Interested,"Energy Levels, Immunity Boost, Anti-Aging, Mental Wellness",1000-2000 AED,1118.01,Neutral
47,Male,Master’s,10000-20000 AED,Dubai,5+ times/week,Non-Vegetarian,Yes,Somewhat Interested,"Weight Management, Anti-Aging, Fitness Performance",500-1000 AED,878.27,Interested
55,Male,Bachelor’s,5000-10000 AED,Sharjah,5+ times/week,Pescatarian,Yes,Somewhat Interested,"Weight Management, Energy Levels",200-500 AED,228.57,Neutral
55,Female,Master’s,2000-5000 AED,Dubai,5+ times/week,Non-Vegetarian,Yes,Very Interested,"Fitness Performance, Mental Wellness, Skin Health, Weight Management, Anti-Aging",500-1000 AED,513.74,Interested
62,Male,Master’s,<2000 AED,Sharjah,Never,Vegan,Yes,Somewhat Interested,"Fitness Performance, Mental Wellness",200-500 AED,321.09,Interested
25,Male,Bachelor’s,10000-20000 AED,Dubai,3-4 times/week,Pescatarian,No,Very Interested,"Energy Levels, Mental Wellness, Weight Management, Skin Health, Anti-Aging",500-1000 AED,996.79,Not Interested
44,Female,Bachelor’s,2000-5000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Skin Health, Fitness Performance, Energy Levels, Anti-Aging, Weight Management",1000-2000 AED,1174.88,Interested
44,Male,Bachelor’s,2000-5000 AED,Abu Dhabi,5+ times/week,Vegan,Yes,Very Interested,"Fitness Performance, Mental Wellness, Anti-Aging",200-500 AED,401.79,Highly Interested
51,Male,Bachelor’s,<2000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Skin Health, Immunity Boost, Energy Levels",500-1000 AED,586.7,Interested
38,Female,High School,10000-20000 AED,Abu Dhabi,5+ times/week,Non-Vegetarian,Yes,Very Interested,"Anti-Aging, Mental Wellness, Energy Levels, Immunity Boost",1000-2000 AED,1724.79,Interested
47,Female,Bachelor’s,10000-20000 AED,Sharjah,3-4 times/week,Vegetarian,No,Very Interested,"Weight Management, Fitness Performance",>2000 AED,2505.35,Highly Interested
50,Male,Bachelor’s,10000-20000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Fitness Performance, Energy Levels, Immunity Boost, Anti-Aging, Mental Wellness",500-1000 AED,839.99,Not Interested
45,Female,Bachelor’s,2000-5000 AED,Dubai,1-2 times/week,Vegan,Yes,Somewhat Interested,"Immunity Boost, Energy Levels",500-1000 AED,601.44,Highly Interested
64,Female,Master’s,2000-5000 AED,Ajman,3-4 times/week,Keto/Low Carb,Yes,Somewhat Interested,"Energy Levels, Weight Management, Skin Health, Fitness Performance",500-1000 AED,872.81,Highly Interested
50,Female,Master’s,5000-10000 AED,Sharjah,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Fitness Performance, Anti-Aging, Skin Health",>2000 AED,2995.62,Neutral
22,Female,Doctorate,5000-10000 AED,Dubai,3-4 times/week,Pescatarian,Yes,Somewhat Interested,"Fitness Performance, Immunity Boost, Anti-Aging",1000-2000 AED,1665.65,Interested
36,Prefer not to say,Bachelor’s,2000-5000 AED,Ajman,3-4 times/week,Pescatarian,No,Very Interested,"Fitness Performance, Mental Wellness",200-500 AED,348.04,Highly Interested
21,Female,Bachelor’s,5000-10000 AED,Dubai,3-4 times/week,Vegetarian,No,Very Interested,"Immunity Boost, Mental Wellness, Weight Management, Energy Levels",500-1000 AED,961.59,Interested
52,Female,Bachelor’s,>20000 AED,Abu Dhabi,1-2 times/week,Non-Vegetarian,No,Somewhat Interested,"Immunity Boost, Energy Levels, Anti-Aging",500-1000 AED,507.93,Interested
34,Female,Bachelor’s,10000-20000 AED,Dubai,3-4 times/week,Vegetarian,Yes,Somewhat Interested,"Energy Levels, Weight Management, Skin Health, Mental Wellness",1000-2000 AED,1729.92,Highly Interested
61,Male,Master’s,10000-20000 AED,Sharjah,3-4 times/week,Non-Vegetarian,No,Very Interested,"Mental Wellness, Weight Management",500-1000 AED,944.37,Not Interested
45,Male,High School,>20000 AED,Sharjah,3-4 times/week,Keto/Low Carb,Yes,Very Interested,"Energy Levels, Skin Health, Weight Management, Anti-Aging, Mental Wellness",500-1000 AED,530.84,Interested
47,Female,Master’s,2000-5000 AED,Dubai,Never,Vegetarian,Yes,Very Interested,"Skin Health, Mental Wellness",>2000 AED,2450.06,Interested
46,Female,Bachelor’s,5000-10000 AED,Ajman,1-2 times/week,Vegan,Yes,Somewhat Interested,"Mental Wellness, Anti-Aging, Immunity Boost, Weight Management, Fitness Performance",<200 AED,181.89,Interested
63,Female,Bachelor’s,>20000 AED,Abu Dhabi,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Weight Management, Fitness Performance",200-500 AED,369.96,Interested
23,Male,Bachelor’s,2000-5000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Fitness Performance, Immunity Boost, Skin Health, Weight Management, Mental Wellness",500-1000 AED,824.77,Highly Interested
52,Female,Bachelor’s,10000-20000 AED,Dubai,Never,Non-Vegetarian,No,Neutral,"Fitness Performance, Anti-Aging, Mental Wellness, Energy Levels",200-500 AED,290.79,Highly Interested
58,Male,Bachelor’s,5000-10000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Energy Levels, Mental Wellness, Immunity Boost, Weight Management",<200 AED,283.99,Interested
54,Female,Bachelor’s,5000-10000 AED,Dubai,5+ times/week,Vegetarian,Yes,Not Interested,"Mental Wellness, Skin Health, Energy Levels",<200 AED,211.74,Neutral
41,Female,High School,5000-10000 AED,Abu Dhabi,1-2 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Anti-Aging, Immunity Boost, Fitness Performance, Weight Management, Mental Wellness",500-1000 AED,684.7,Highly Interested
46,Female,Bachelor’s,>20000 AED,Ajman,3-4 times/week,Vegetarian,No,Somewhat Interested,"Fitness Performance, Skin Health, Immunity Boost",1000-2000 AED,1159.54,Interested
63,Female,High School,10000-20000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Skin Health, Immunity Boost",500-1000 AED,942.78,Neutral
48,Female,Bachelor’s,<2000 AED,Dubai,5+ times/week,Vegetarian,No,Somewhat Interested,"Anti-Aging, Energy Levels, Mental Wellness, Immunity Boost, Weight Management",500-1000 AED,505.01,Highly Interested
52,Male,Bachelor’s,10000-20000 AED,Dubai,3-4 times/week,Pescatarian,Yes,Somewhat Interested,"Fitness Performance, Energy Levels, Weight Management, Immunity Boost",200-500 AED,464.72,Highly Interested
50,Female,Bachelor’s,2000-5000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Fitness Performance, Weight Management",1000-2000 AED,1571.68,Highly Interested
38,Male,Master’s,2000-5000 AED,Abu Dhabi,5+ times/week,Non-Vegetarian,Yes,Very Interested,"Energy Levels, Anti-Aging",1000-2000 AED,1331.66,Interested
49,Female,High School,5000-10000 AED,Sharjah,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Immunity Boost, Skin Health, Mental Wellness",500-1000 AED,861.53,Highly Interested
40,Female,Master’s,5000-10000 AED,Dubai,5+ times/week,Non-Vegetarian,Yes,Very Interested,"Immunity Boost, Energy Levels",200-500 AED,352.33,Interested
50,Female,Bachelor’s,5000-10000 AED,Sharjah,Never,Keto/Low Carb,Yes,Very Interested,"Skin Health, Immunity Boost, Weight Management, Energy Levels, Mental Wellness",<200 AED,299.64,Interested
20,Female,Bachelor’s,>20000 AED,Ajman,5+ times/week,Vegetarian,Yes,Very Interested,"Mental Wellness, Weight Management, Energy Levels, Fitness Performance",<200 AED,144.06,Interested
35,Female,Master’s,10000-20000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,No,Very Interested,"Skin Health, Anti-Aging",500-1000 AED,694.76,Highly Interested
42,Prefer not to say,High School,5000-10000 AED,Ajman,3-4 times/week,Vegan,Yes,Somewhat Interested,"Fitness Performance, Weight Management",1000-2000 AED,1241.06,Interested
59,Male,Bachelor’s,<2000 AED,Abu Dhabi,1-2 times/week,Vegetarian,Yes,Neutral,"Mental Wellness, Fitness Performance",1000-2000 AED,1015.7,Neutral
48,Male,Bachelor’s,>20000 AED,Abu Dhabi,3-4 times/week,Vegetarian,Yes,Neutral,"Mental Wellness, Anti-Aging, Skin Health",500-1000 AED,680.05,Neutral
20,Male,Bachelor’s,>20000 AED,Abu Dhabi,Never,Non-Vegetarian,No,Somewhat Interested,"Skin Health, Mental Wellness",1000-2000 AED,1089.82,Neutral
57,Male,High School,10000-20000 AED,Abu Dhabi,5+ times/week,Vegetarian,No,Somewhat Interested,"Mental Wellness, Skin Health, Fitness Performance, Energy Levels",>2000 AED,2256.83,Interested
63,Female,High School,<2000 AED,Dubai,5+ times/week,Non-Vegetarian,No,Neutral,"Skin Health, Energy Levels, Weight Management",200-500 AED,227.75,Interested
41,Non-binary,Master’s,<2000 AED,Dubai,1-2 times/week,Non-Vegetarian,No,Very Interested,"Mental Wellness, Energy Levels, Weight Management, Skin Health, Immunity Boost",500-1000 AED,550.47,Highly Interested
49,Male,Bachelor’s,2000-5000 AED,Dubai,5+ times/week,Pescatarian,Yes,Very Interested,"Fitness Performance, Mental Wellness, Skin Health",>2000 AED,2199.01,Highly Interested
64,Male,Bachelor’s,<2000 AED,Abu Dhabi,3-4 times/week,Vegan,Yes,Neutral,"Weight Management, Mental Wellness, Fitness Performance",200-500 AED,499.95,Highly Interested
39,Male,Bachelor’s,2000-5000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Mental Wellness, Energy Levels, Fitness Performance",>2000 AED,2002.18,Interested
40,Female,Master’s,>20000 AED,Ras Al Khaimah,1-2 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Energy Levels, Mental Wellness, Anti-Aging",>2000 AED,2638.67,Highly Interested
19,Female,High School,5000-10000 AED,Sharjah,1-2 times/week,Pescatarian,Yes,Very Interested,"Anti-Aging, Weight Management, Skin Health, Immunity Boost",500-1000 AED,570.62,Highly Interested
44,Male,Bachelor’s,<2000 AED,Abu Dhabi,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Skin Health, Fitness Performance, Immunity Boost",1000-2000 AED,1920.63,Not Interested
59,Non-binary,Bachelor’s,2000-5000 AED,Dubai,1-2 times/week,Pescatarian,No,Neutral,"Weight Management, Immunity Boost",1000-2000 AED,1093.63,Highly Interested
19,Female,Doctorate,<2000 AED,Ajman,5+ times/week,Vegan,No,Somewhat Interested,"Mental Wellness, Anti-Aging, Energy Levels",500-1000 AED,977.53,Highly Interested
43,Male,Bachelor’s,<2000 AED,Ajman,Never,Vegan,No,Very Interested,"Skin Health, Immunity Boost, Energy Levels",200-500 AED,383.28,Highly Interested
34,Female,Bachelor’s,2000-5000 AED,Sharjah,5+ times/week,Non-Vegetarian,No,Very Interested,"Weight Management, Anti-Aging, Energy Levels",<200 AED,100.51,Interested
57,Female,Bachelor’s,2000-5000 AED,Dubai,1-2 times/week,Non-Vegetarian,No,Somewhat Interested,"Anti-Aging, Fitness Performance, Energy Levels, Immunity Boost",200-500 AED,468.2,Interested
50,Male,Bachelor’s,10000-20000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Skin Health, Mental Wellness, Weight Management",500-1000 AED,760.86,Highly Interested
26,Male,Bachelor’s,>20000 AED,Dubai,3-4 times/week,Vegan,Yes,Very Interested,"Fitness Performance, Anti-Aging",200-500 AED,278.8,Interested
60,Male,Bachelor’s,2000-5000 AED,Dubai,5+ times/week,Vegetarian,No,Neutral,"Skin Health, Weight Management, Immunity Boost",<200 AED,406.91,Neutral
56,Male,Master’s,5000-10000 AED,Sharjah,1-2 times/week,Vegan,No,Very Interested,"Immunity Boost, Weight Management",200-500 AED,478.0,Neutral
46,Female,Master’s,10000-20000 AED,Sharjah,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Weight Management, Anti-Aging, Immunity Boost",1000-2000 AED,1483.69,Not Interested
59,Non-binary,Bachelor’s,2000-5000 AED,Abu Dhabi,3-4 times/week,Vegetarian,No,Somewhat Interested,"Energy Levels, Immunity Boost, Skin Health",>2000 AED,2315.55,Neutral
43,Male,Master’s,2000-5000 AED,Ajman,Never,Vegetarian,Yes,Very Interested,"Fitness Performance, Anti-Aging, Immunity Boost, Weight Management, Energy Levels",>2000 AED,2788.95,Interested
52,Male,Bachelor’s,10000-20000 AED,Abu Dhabi,1-2 times/week,Vegetarian,Yes,Neutral,"Skin Health, Immunity Boost, Weight Management, Energy Levels",500-1000 AED,840.89,Highly Interested
42,Male,Bachelor’s,<2000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Fitness Performance, Anti-Aging",1000-2000 AED,1888.75,Highly Interested
41,Male,High School,5000-10000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Fitness Performance, Anti-Aging",1000-2000 AED,1692.51,Highly Interested
30,Female,Doctorate,5000-10000 AED,Ras Al Khaimah,3-4 times/week,Keto/Low Carb,Yes,Very Interested,"Immunity Boost, Weight Management, Skin Health, Anti-Aging, Fitness Performance",500-1000 AED,621.76,Interested
24,Male,High School,2000-5000 AED,Dubai,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Energy Levels, Fitness Performance, Skin Health",500-1000 AED,965.83,Neutral
53,Male,High School,2000-5000 AED,Ras Al Khaimah,3-4 times/week,Vegetarian,No,Very Interested,"Anti-Aging, Fitness Performance, Mental Wellness, Weight Management, Energy Levels",200-500 AED,231.45,Interested
62,Male,High School,10000-20000 AED,Ajman,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Immunity Boost, Weight Management, Skin Health",>2000 AED,2267.94,Highly Interested
37,Female,Bachelor’s,<2000 AED,Dubai,3-4 times/week,Pescatarian,No,Somewhat Interested,"Mental Wellness, Weight Management, Fitness Performance",500-1000 AED,760.1,Interested
18,Male,High School,2000-5000 AED,Abu Dhabi,5+ times/week,Vegan,Yes,Neutral,"Fitness Performance, Anti-Aging",500-1000 AED,782.87,Neutral
25,Female,High School,10000-20000 AED,Ajman,3-4 times/week,Vegetarian,Yes,Somewhat Interested,"Energy Levels, Mental Wellness, Weight Management, Immunity Boost, Anti-Aging",500-1000 AED,507.66,Interested
63,Male,High School,5000-10000 AED,Abu Dhabi,3-4 times/week,Pescatarian,No,Neutral,"Weight Management, Energy Levels, Anti-Aging",200-500 AED,434.17,Neutral
33,Female,High School,<2000 AED,Ras Al Khaimah,1-2 times/week,Vegan,Yes,Somewhat Interested,"Energy Levels, Skin Health, Mental Wellness",200-500 AED,308.48,Neutral
31,Female,Bachelor’s,10000-20000 AED,Ras Al Khaimah,3-4 times/week,Vegetarian,No,Very Interested,"Weight Management, Mental Wellness, Fitness Performance, Skin Health",500-1000 AED,703.21,Neutral
29,Male,Master’s,2000-5000 AED,Abu Dhabi,1-2 times/week,Vegetarian,Yes,Very Interested,"Immunity Boost, Mental Wellness, Weight Management",<200 AED,423.75,Neutral
40,Male,Bachelor’s,10000-20000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Weight Management, Fitness Performance, Skin Health",1000-2000 AED,1379.28,Interested
32,Female,Bachelor’s,10000-20000 AED,Ras Al Khaimah,3-4 times/week,Vegetarian,Yes,Very Interested,"Mental Wellness, Weight Management",500-1000 AED,523.61,Highly Interested
45,Non-binary,Master’s,5000-10000 AED,Sharjah,5+ times/week,Pescatarian,Yes,Very Interested,"Fitness Performance, Mental Wellness, Anti-Aging, Energy Levels",500-1000 AED,588.22,Highly Interested
51,Female,High School,5000-10000 AED,Dubai,1-2 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Fitness Performance, Weight Management, Energy Levels, Immunity Boost, Anti-Aging",500-1000 AED,977.95,Interested
19,Female,Bachelor’s,>20000 AED,Dubai,3-4 times/week,Keto/Low Carb,Yes,Neutral,"Immunity Boost, Weight Management, Mental Wellness, Fitness Performance, Energy Levels",500-1000 AED,535.2,Highly Interested
49,Non-binary,Doctorate,<2000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Weight Management, Anti-Aging, Mental Wellness, Skin Health",500-1000 AED,677.47,Not Interested
40,Female,Bachelor’s,10000-20000 AED,Ras Al Khaimah,1-2 times/week,Vegetarian,Yes,Somewhat Interested,"Anti-Aging, Skin Health, Weight Management, Fitness Performance",500-1000 AED,751.59,Highly Interested
39,Male,Bachelor’s,2000-5000 AED,Ajman,1-2 times/week,Vegetarian,Yes,Neutral,"Fitness Performance, Immunity Boost, Anti-Aging, Skin Health, Mental Wellness",1000-2000 AED,1493.28,Neutral
42,Non-binary,Bachelor’s,2000-5000 AED,Sharjah,1-2 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Mental Wellness, Fitness Performance, Anti-Aging",1000-2000 AED,1003.96,Highly Interested
39,Male,Bachelor’s,2000-5000 AED,Dubai,1-2 times/week,Vegan,Yes,Very Interested,"Anti-Aging, Skin Health",1000-2000 AED,1501.16,Highly Interested
39,Female,Bachelor’s,>20000 AED,Dubai,1-2 times/week,Vegan,No,Very Interested,"Immunity Boost, Fitness Performance, Energy Levels, Mental Wellness, Weight Management",200-500 AED,315.13,Neutral
59,Male,High School,>20000 AED,Ajman,1-2 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Immunity Boost, Fitness Performance, Weight Management, Mental Wellness, Energy Levels",500-1000 AED,986.04,Highly Interested
23,Male,High School,2000-5000 AED,Dubai,1-2 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Anti-Aging, Immunity Boost, Fitness Performance",>2000 AED,2159.16,Highly Interested
32,Male,High School,<2000 AED,Dubai,3-4 times/week,Vegetarian,Yes,Neutral,"Energy Levels, Skin Health, Anti-Aging",500-1000 AED,677.08,Highly Interested
60,Female,Doctorate,10000-20000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Anti-Aging, Skin Health, Immunity Boost, Weight Management",200-500 AED,325.84,Interested
54,Male,Master’s,5000-10000 AED,Sharjah,5+ times/week,Vegetarian,Yes,Very Interested,"Mental Wellness, Skin Health",500-1000 AED,695.35,Highly Interested
50,Male,High School,<2000 AED,Ras Al Khaimah,3-4 times/week,Non-Vegetarian,No,Very Interested,"Mental Wellness, Skin Health, Energy Levels, Weight Management, Anti-Aging",200-500 AED,399.75,Interested
25,Male,High School,5000-10000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Immunity Boost, Skin Health, Energy Levels, Anti-Aging, Fitness Performance",200-500 AED,264.65,Interested
61,Female,Master’s,5000-10000 AED,Abu Dhabi,5+ times/week,Keto/Low Carb,No,Very Interested,"Skin Health, Mental Wellness",>2000 AED,2221.07,Interested
61,Prefer not to say,High School,>20000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Anti-Aging, Immunity Boost, Skin Health, Energy Levels, Weight Management",500-1000 AED,864.61,Interested
22,Female,High School,2000-5000 AED,Other,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Skin Health, Anti-Aging, Fitness Performance",200-500 AED,350.09,Interested
56,Female,Doctorate,5000-10000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Very Interested,"Anti-Aging, Skin Health, Weight Management",>2000 AED,2415.16,Highly Interested
21,Female,Bachelor’s,5000-10000 AED,Abu Dhabi,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Mental Wellness, Immunity Boost, Skin Health, Energy Levels",>2000 AED,2169.2,Neutral
23,Female,Master’s,10000-20000 AED,Dubai,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Immunity Boost, Weight Management, Energy Levels, Skin Health",500-1000 AED,593.76,Highly Interested
62,Male,Doctorate,5000-10000 AED,Ajman,3-4 times/week,Keto/Low Carb,Yes,Very Interested,"Skin Health, Anti-Aging",200-500 AED,203.17,Interested
49,Male,Bachelor’s,5000-10000 AED,Abu Dhabi,3-4 times/week,Pescatarian,No,Very Interested,"Fitness Performance, Weight Management, Anti-Aging, Mental Wellness, Immunity Boost",1000-2000 AED,1091.43,Interested
47,Male,High School,2000-5000 AED,Dubai,Never,Non-Vegetarian,Yes,Somewhat Interested,"Energy Levels, Skin Health, Fitness Performance, Anti-Aging, Immunity Boost",1000-2000 AED,1556.84,Neutral
64,Male,High School,10000-20000 AED,Abu Dhabi,5+ times/week,Non-Vegetarian,No,Neutral,"Energy Levels, Fitness Performance, Skin Health, Anti-Aging",500-1000 AED,945.94,Interested
52,Male,Master’s,5000-10000 AED,Sharjah,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Immunity Boost, Anti-Aging, Energy Levels, Fitness Performance",1000-2000 AED,1287.16,Highly Interested
57,Female,Master’s,<2000 AED,Dubai,3-4 times/week,Vegan,Yes,Somewhat Interested,"Mental Wellness, Fitness Performance, Anti-Aging, Skin Health",500-1000 AED,663.87,Interested
33,Male,Master’s,5000-10000 AED,Ajman,5+ times/week,Vegetarian,Yes,Very Interested,"Skin Health, Mental Wellness, Energy Levels, Fitness Performance, Weight Management",200-500 AED,234.68,Interested
30,Female,High School,2000-5000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Immunity Boost, Anti-Aging, Energy Levels, Weight Management, Fitness Performance",500-1000 AED,694.32,Highly Interested
59,Female,Master’s,<2000 AED,Abu Dhabi,5+ times/week,Non-Vegetarian,No,Neutral,"Anti-Aging, Energy Levels, Weight Management, Mental Wellness",200-500 AED,211.17,Interested
47,Male,Doctorate,10000-20000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Energy Levels, Mental Wellness, Anti-Aging, Weight Management",1000-2000 AED,1917.6,Interested
36,Female,Bachelor’s,5000-10000 AED,Sharjah,1-2 times/week,Non-Vegetarian,No,Neutral,"Immunity Boost, Fitness Performance, Mental Wellness, Energy Levels",500-1000 AED,836.56,Not Interested
34,Female,Doctorate,10000-20000 AED,Dubai,3-4 times/week,Keto/Low Carb,Yes,Very Interested,"Energy Levels, Anti-Aging, Mental Wellness, Fitness Performance",<200 AED,496.3,Interested
36,Male,Master’s,2000-5000 AED,Ajman,3-4 times/week,Vegetarian,No,Very Interested,"Anti-Aging, Fitness Performance, Immunity Boost, Weight Management, Skin Health",500-1000 AED,941.41,Highly Interested
45,Female,Master’s,10000-20000 AED,Sharjah,3-4 times/week,Non-Vegetarian,Yes,Neutral,"Fitness Performance, Anti-Aging",200-500 AED,341.9,Highly Interested
43,Female,Bachelor’s,<2000 AED,Abu Dhabi,5+ times/week,Non-Vegetarian,Yes,Very Interested,"Immunity Boost, Anti-Aging, Mental Wellness",200-500 AED,355.91,Neutral
54,Female,Bachelor’s,2000-5000 AED,Sharjah,3-4 times/week,Pescatarian,Yes,Very Interested,"Anti-Aging, Immunity Boost",500-1000 AED,595.29,Neutral
